Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.69709E-4,51.265861712,0.745350675,0.119591235,0.5625,0
2.70252E-4,51.508818087,0.746051821,0.118762659,0.565524194,0
2.71716E-4,51.752680432,0.74793042,0.117934082,0.567540323,0
2.73029E-4,52.025044916,0.749603247,0.117013441,0.570564516,0
2.74728E-4,52.271326732,0.751751315,0.116184865,0.57358871,0
2.75644E-4,52.519020528,0.752901597,0.115356288,0.575604839,0
2.76793E-4,52.767686633,0.754337417,0.114527711,0.576612903,0
2.78429E-4,53.017745792,0.756367138,0.113699135,0.578629032,0
2.79723E-4,53.268981385,0.757961104,0.112870558,0.581653226,0
2.80751E-4,53.521269277,0.759219444,0.112041981,0.58266129,0
2.81876E-4,53.77441076,0.760589503,0.111213405,0.584677419,0
2.83568E-4,54.000525748,0.762634953,0.110476892,0.585685484,0
2.85046E-4,54.256280822,0.764408415,0.109648315,0.587701613,0
2.86363E-4,54.513455472,0.765975993,0.108819739,0.588709677,0
2.86865E-4,54.771439443,0.76657085,0.107991162,0.59375,0
2.87606E-4,55.001291572,0.767447072,0.107254649,0.595766129,0
2.88929E-4,55.26080431,0.769002434,0.106426073,0.598790323,0
2.90191E-4,55.521585257,0.770475918,0.105597496,0.600806452,0
2.91031E-4,55.754089934,0.771451599,0.104860983,0.603830645,0
2.91838E-4,56.016360261,0.772384553,0.104032407,0.606854839,0
2.92876E-4,56.250264639,0.773580469,0.103295894,0.609879032,0
2.94726E-4,56.514745655,0.775694709,0.102467317,0.611895161,0
2.96051E-4,56.751067816,0.777197027,0.101730805,0.615927419,0
2.97191E-4,57.047756046,0.778481073,0.100810164,0.616935484,0
2.98117E-4,57.256217035,0.779518656,0.100165715,0.618951613,0
2.99715E-4,57.525367021,0.781299398,0.099337139,0.622983871,0
3.00408E-4,57.765436192,0.782066451,0.098600626,0.626008065,0
3.01519E-4,58.006133556,0.783290696,0.097864113,0.628024194,0
3.02749E-4,58.278240833,0.784638048,0.097035537,0.632056452,0
3.03548E-4,58.520787441,0.785509038,0.096299024,0.63608871,0
3.06207E-4,58.765272219,0.788382613,0.095562512,0.638104839,0
3.06764E-4,59.010407798,0.788979679,0.094825999,0.642137097,0
3.07823E-4,59.25632629,0.790109456,0.094089486,0.644153226,0
3.09338E-4,59.50322122,0.791716503,0.093352974,0.64516129,0
3.1016E-4,59.75107077,0.792582942,0.092616461,0.646169355,0
