RSPB,County,Species,Mean 2021,Rank 2021,% Gardens 2021,,Mean 2020,Rank 2020,% Gardens 2020,,% Change,Rank Change,% change in % gardens recorded,
NIRO,Antrim,Greenfinch,0.249,20,11.1,,0.261,19,12.1,,-4.7,-1,-8.0,
NIRO,Antrim,Rook,0.208,21,5.1,,0.230,20,5.1,,-9.7,-1,-1.4,
NIRO,Antrim,Pied_wagtail,0.115,22,7.1,,0.096,21,6.2,,19.7,-1,13.9,
NIRO,Antrim,Siskin,0.079,23,2.6,,0.034,30,1.5,,133.2,7,66.4,
NIRO,Antrim,Tree_sparrow,0.075,24,1.9,,0.074,23,1.6,,2.1,-1,13.2,
NIRO,Antrim,Blackcap,0.067,25,4.7,,0.051,27,3.9,,30.1,2,20.6,
NIRO,Antrim,Bullfinch,0.064,26,3.3,,0.086,22,4.5,,-25.6,-4,-26.4,
NIRO,Antrim,Pheasant,0.060,27,2.7,,0.052,26,2.5,,14.5,-1,7.0,
NIRO,Antrim,Common_gull,0.052,28,1.5,,0.048,28,1.5,,6.9,0,-0.3,
NIRO,Antrim,Herring_gull,0.046,29,1.6,,0.034,29,1.1,,35.8,0,50.3,
NIRO,Antrim,Black_headed_gull,0.043,30,1.2,,0.053,25,1.6,,-18.8,-5,-26.9,
NIRO,Antrim,Jay,0.034,31,2.4,,0.026,32,1.6,,31.3,1,46.0,
NIRO,Antrim,Buzzard,0.026,32,1.8,,0.024,34,1.6,,8.7,2,11.2,
NIRO,Antrim,Mistle_thrush,0.020,33,1.4,,0.010,39,1.0,,109.1,6,44.3,
NIRO,Antrim,Goldcrest,0.019,34,1.6,,0.025,33,2.2,,-22.7,-1,-26.7,
NIRO,Antrim,Fieldfare,0.018,35,0.5,,0.007,41,0.3,,161.8,6,87.2,
NIRO,Antrim,Sparrowhawk,0.016,36,1.6,,0.016,36,1.6,,-2.8,0,-2.8,
NIRO,Antrim,Grey_wagtail,0.015,37,1.2,,0.015,37,1.5,,6.0,0,-15.6,
NIRO,Antrim,Redpoll,0.014,38,1.0,,0.019,35,1.1,,-24.2,-3,-11.8,
NIRO,Antrim,Treecreeper,0.010,39,1.0,,0.010,40,1.0,,0.6,1,0.6,
NIRO,Antrim,Grey_heron,0.009,40,0.9,,0.004,42,0.4,,128.9,2,128.9,
NIRO,Antrim,Raven,0.007,41,0.4,,0.002,45,0.2,,284.2,4,121.6,
NIRO,Antrim,Redwing,0.007,42,0.4,,0.031,31,0.9,,-77.0,-11,-54.2,
NIRO,Antrim,Mallard,0.004,43,0.1,,0.012,38,0.5,,-65.5,-5,-70.4,
NIRO,Antrim,Yellowhammer,0.003,44,0.2,,0.003,43,0.2,,-1.5,-1,-11.4,
NIRO,Antrim,Moorhen,0.003,45,0.2,,0.000,66,0.0,,Increase,21,Increase,
NIRO,Antrim,Marsh_tit,0.003,46,0.2,,0.000,64,0.0,,Increase,18,Increase,
NIRO,Antrim,Red_kite,0.002,47,0.1,,0.000,69,0.0,,Increase,22,Increase,
NIRO,Antrim,Great_spotted_woodpecker,0.002,48,0.2,,0.001,50,0.1,,77.4,2,77.4,
