Year,All species,All species,All species,All species,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Seabirds,Seabirds,Seabirds,Wintering Water birds,Wintering Water birds,Wildfowl (27),Wildfowl (27),Wader (15),Wader (15)
,All (130),All (130),All (130),All (130),All (19),All (19),All (19),All (19),Generalist (7),Generalist (7),Generalist (7),Generalist (7),Specialist (12),Specialist (12),Specialist (12),Specialist (12),All (37),All (37),All (37),All (37),Generalist (12),Generalist (12),Generalist (12),Generalist (12),Specialist (25),Specialist (25),Specialist (25),Specialist (25),All (26),All (26),All (26),All (26),Reed bed (4),Reed bed (4),Reed bed (4),Reed bed (4),Wet meadow (8),Wet meadow (8),Wet meadow (8),Wet meadow (8),Fast flow (4) ,Fast flow (4) ,Fast flow (4) ,Fast flow (4) ,Slow stand (6),Slow stand (6),Slow stand (6),Slow stand (6),All (13),All (13),All (13),All (46) ,All (46) ,All (46) ,All (46) ,All (46) ,All (46) 
,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Unsmoothed data 2.5CI,Unsmoothed data 97.5CI,Unsmoothed data,Smoothed data,Unsmoothed data,Smoothed data,Unsmoothed data,Smoothed data
1990,98.58795906,94.81293079,91.07803082,100.1191988,68.98292016,63.08790559,56.16266342,69.15023938,110.8469698,102.9048873,84.82625654,125.864993,52.61467467,47.53367125,41.82311493,52.93200639,90.81762439,86.33678134,81.95016167,92.63623412,102.0157975,92.2978929,86.77090908,99.05672585,81.41453369,79.64479251,72.97275296,89.18934501,104.4489098,100.7278261,89.37045378,115.3686141,58.75719726,64.69933488,48.46128533,84.70363784,94.37591361,91.83011024,67.34403737,146.3075329,97.02140313,90.96029876,74.81313298,110.0509569,139.7650126,129.776777,100.6858757,159.8359631,93.30136914,61.73817544,121.79533,197.52628,193.08154,225.50724,214.78209,159.04801,163.25044
1991,90.56961455,92.26316146,88.47637197,97.55338217,65.03548877,61.73638888,54.76037314,67.80759904,115.0291182,102.7851605,84.65597605,127.3965321,46.90349763,45.96266594,40.12323949,51.38170828,83.19252325,83.14853867,78.66285677,89.21411547,88.89069918,90.87361171,85.4874761,98.23779015,76.34832314,75.44538557,68.82004798,84.49839868,90.00795208,98.01609662,86.97211794,112.2939141,51.3057698,62.65729411,46.71445766,81.35680385,77.59074499,85.72993712,59.19194702,134.7529447,86.51704638,89.49905198,73.89260237,109.6252218,139.6182107,131.4631953,101.9595227,163.1193353,95.49399821,63.27066134,141.1169098,193.9123,195.8922,219.23883,215.73498,159.68051,168.18493
1992,92.95967857,90.78296132,87.05809446,96.02513635,61.50927076,59.92366398,52.87871811,65.38853408,104.4568703,100.8522714,83.11503508,124.9216293,45.42528079,44.3324541,37.8869745,49.4328757,79.90091913,80.36677308,76.02446476,86.00037445,93.61599654,90.56321583,85.13098232,98.12426729,68.90457732,71.34084096,65.13829967,79.31174741,92.36503081,95.76045299,84.2619524,109.7820102,55.93988108,63.00593287,47.32516011,81.68828748,75.2695727,79.45642212,53.37683458,117.2629652,83.77331356,88.79556337,73.47324457,109.2832919,138.3564216,130.8093989,103.1843447,164.5166797,99.27414917,66.63120718,132.5481649,192.45261,198.22639,204.67901,215.49456,173.41036,172.90543
1993,89.78186469,90.09870312,85.94841864,95.07280377,57.58242292,58.31459264,51.21569402,64.3274967,96.17326955,98.57303807,81.99155834,121.7882864,42.9403555,43.03245027,36.04114186,48.60701654,81.39009069,78.75776795,74.16671375,84.03639922,97.56721795,91.45381073,86.13870976,99.23859695,69.27635654,68.47158751,62.00022517,75.62477588,89.90311016,94.96753984,82.22881875,108.4245996,53.77417403,65.80757766,49.36323462,84.97261133,70.96415154,74.10869809,45.84022864,108.8189815,88.65127348,89.66851061,74.20761997,110.5761255,129.2468175,129.5001006,102.0085812,164.8699605,94.97801854,63.60265618,127.0060801,197.53024,203.30607,222.4216,220.02776,159.91127,177.24841
1994,91.35890008,90.47733844,86.37494949,95.11918161,58.86463642,57.37293859,49.92699846,63.5346914,103.1823372,97.42815617,81.66299999,120.2543121,42.6764289,42.22418764,35.02911773,47.44392334,81.76544015,78.16962801,72.91735577,83.64516643,100.8355825,92.61606588,86.96052747,100.50088,68.51252719,66.99402538,60.00702409,74.08514683,88.94980526,95.63793533,81.07403802,108.0084645,60.74272744,69.97851584,52.63635483,90.58732078,63.06801772,70.21492026,40.38774216,105.7376137,95.44955434,91.19041811,75.35005445,111.4592218,122.9519757,129.8619202,101.3842529,170.0798228,95.36087705,63.63371184,134.1431676,209.21888,211.13077,217.96678,228.95478,191.99114,182.16044
1995,94.05453155,91.03546693,87.14386406,95.67238769,60.9092502,56.86339653,49.36743036,63.10979807,103.4283811,97.27851449,81.45045615,120.6521689,44.98457321,41.66931919,34.52883171,46.83002862,76.04181881,78.30007259,72.51390408,83.89915146,99.79495617,93.29173321,87.48700539,101.2651808,61.38251654,66.81335808,58.9509864,74.86470424,105.5051872,96.96265556,81.65410382,108.7665569,75.16891755,73.6307496,55.53947826,95.90156976,70.6665977,68.72715683,38.78596754,102.3420137,95.32147873,91.89786403,75.88957733,112.3178374,161.7484574,131.894845,102.6189903,170.4877421,98.51714075,68.31166812,132.9457727,220.03681,218.59694,248.49911,240.66437,172.5609,183.07918
1996,92.00704152,91.32181925,87.33687501,96.04595612,59.75702043,56.24388009,49.03168054,62.79478625,103.5821943,97.49532799,81.43816504,121.0061909,43.60682448,40.89965542,33.93821197,46.2148869,81.46735822,78.91382055,72.54396187,84.44811256,100.775758,93.46634449,87.60784566,101.5434826,67.63163659,67.41673881,59.46867846,75.90381354,97.82206567,97.03048278,81.34041115,109.1234584,67.74634693,75.56864508,57.35076969,98.80547809,71.12817534,67.29851387,36.56560577,98.79526468,91.60125257,91.43904691,75.13581479,112.6518453,134.7856449,132.6152665,104.0575475,171.8567987,96.86548036,67.46678727,140.1581023,221.96287,222.09182,255.53662,246.36338,172.4324,183.51507
1997,93.78813436,91.92694238,87.96059975,96.8960651,58.48052049,55.37715149,48.59829066,62.04205106,104.4247419,97.69394613,81.8189922,121.5457144,41.94247791,39.85887389,33.07043487,45.02494571,83.94756722,79.42682146,72.83789316,85.06547758,94.47829676,93.72843577,87.80732966,101.6700751,73.16740642,67.84300491,59.25000494,76.34932156,91.59842312,96.42973614,81.95077978,110.6008384,66.20562355,77.64310439,59.09701182,101.3995792,61.45811548,65.18251237,36.68608798,96.20419844,89.33241213,90.59980857,73.76119814,112.2162657,130.4616547,134.0064871,104.181078,173.8591527,99.17810595,64.34484463,132.4561323,220.92401,221.35605,241.27972,243.4273,187.68239,184.87057
1998,93.78257793,92.50330714,88.65636459,97.65571872,55.16056288,54.52591985,48.06734,61.05723797,102.9950761,97.72696861,82.1462263,121.6143606,38.54405912,38.8854701,32.34948729,43.7549169,80.90807681,79.37548425,73.24861109,85.30194747,96.93090471,95.02773898,89.03299388,103.1302098,68.01820415,67.13768321,58.81567493,75.45684184,92.00764943,96.43225393,83.37134393,111.7210483,66.29126469,81.9892384,62.73538976,108.9666823,58.46116882,62.93337063,37.1450565,96.67003041,90.40974519,90.04244671,72.82921129,111.0743537,144.9447664,137.7422764,107.0408593,177.4678568,92.82747539,63.06535102,135.0669591,211.16903,219.15968,231.1288,238.81597,175.02136,184.07208
1999,93.64061344,92.88259873,89.0185275,97.91054922,54.86628064,54.09297628,47.50169104,60.35119808,101.7086612,97.79224487,82.46376776,121.8333504,38.50022237,38.38278639,31.70074634,43.21081475,79.80550837,78.89110808,72.87183134,84.93904446,104.3786773,97.19564983,91.22038516,105.6665097,64.04823257,65.57175955,57.51385348,73.57253225,93.95192646,97.36173048,84.30261996,113.0120703,79.39791992,88.69250329,68.01965202,119.8455663,55.85021327,61.33704359,36.67520179,96.03102827,90.9018839,89.75245976,72.40260139,111.5054218,154.251295,142.3706717,110.4053477,183.3120476,98.2696163,73.39529648,139.3711466,219.86187,218.77628,240.07578,237.63009,179.00999,182.9414
