Species,x,y
Hippodamia variegata,-1.07216,53.219389
Hippodamia variegata,-1.068424,53.253518
Hippodamia variegata,1.2519,51.37641
Hippodamia variegata,-0.414877,54.200814
Hippodamia variegata,-0.860173,53.895758
Hippodamia variegata,-1.476654,53.27084
Hippodamia variegata,-0.30576,52.540723
Hippodamia variegata,-1.185339,52.937053
Hippodamia variegata,-0.174316,51.309126
Hippodamia variegata,0.625831,52.767855
Hippodamia variegata,0.618482,52.768917
Hippodamia variegata,-1.322451,53.539726
Hippodamia variegata,-1.184642,53.211222
Hippodamia variegata,-2.026578,51.2312892
Hippodamia variegata,0.681256,52.559793
Hippodamia variegata,0.725358,52.521466
Hippodamia variegata,0.085569,51.455417
Hippodamia variegata,-0.483924,51.644007
Hippodamia variegata,-1.178514,53.179269
Hippodamia variegata,-1.930749,50.574722
Hippodamia variegata,-3.303336,54.163739
Hippodamia variegata,-0.921647,51.469007
Hippodamia variegata,-1.065591,51.470242
Hippodamia variegata,-2.239371,52.507202
Hippodamia variegata,-0.162141,52.448669
Hippodamia variegata,0.516944,51.446947
Hippodamia variegata,-1.020705,53.537636
Hippodamia variegata,-2.984322,53.627477
Hippodamia variegata,-0.058267,51.457888
Hippodamia variegata,0.610415,52.447623
Hippodamia variegata,-1.339123,52.4611
Hippodamia variegata,0.928821,51.777645
Hippodamia variegata,-0.054443,51.547751
Hippodamia variegata,-1.634956,52.282578
Hippodamia variegata,-1.06965,53.266113
Hippodamia variegata,-2.645311,51.548164
Hippodamia variegata,-1.626151,52.457859
Hippodamia variegata,-0.991237,53.157605
Hippodamia variegata,-0.336173,51.731927
Hippodamia variegata,0.971471,51.796064
Hippodamia variegata,-1.338207,52.669213
Hippodamia variegata,-1.322451,53.539726
Hippodamia variegata,-1.634956,52.282578
Hippodamia variegata,0.678144,52.557165
Hippodamia variegata,-0.658875,53.78986
Hippodamia variegata,0.595189,52.438966
Hippodamia variegata,0.229384,51.45277
Hippodamia variegata,0.87448,51.87998
Hippodamia variegata,-1.449478,53.634756
Hippodamia variegata,0.753532,52.97043
Hippodamia variegata,-1.185308,52.819739
Hippodamia variegata,1.044622,52.873398
Hippodamia variegata,-3.113946,51.338285
Hippodamia variegata,-0.202123,51.460183
Hippodamia variegata,-0.24750257,52.09924976
Hippodamia variegata,-1.178514,53.179269
Hippodamia variegata,0.032697,51.559628
Hippodamia variegata,0.293418,51.438045
Hippodamia variegata,-1.02891,53.178143
Hippodamia variegata,-3.00128,53.4135
Hippodamia variegata,-0.349238,51.372422
Hippodamia variegata,-1.080317,53.258105
Hippodamia variegata,0.233773,51.542617
Hippodamia variegata,0.576605,51.471282
Hippodamia variegata,-1.930749,50.574722
Hippodamia variegata,-0.15839,52.538522
Hippodamia variegata,-1.377356,50.934138
Hippodamia variegata,-1.204848,51.741014
Hippodamia variegata,-1.381552,52.861691
Hippodamia variegata,-0.879317,53.17683
Hippodamia variegata,-0.876969,53.266701
Hippodamia variegata,0.59121,50.8572385
Hippodamia variegata,-1.068209,53.263405
Hippodamia variegata,-1.323881,53.449848
Hippodamia variegata,0.1806876,51.5018344
Hippodamia variegata,0.719812,52.431668
Hippodamia variegata,-1.699917,52.431099
Hippodamia variegata,1.00991,52.370676
Hippodamia variegata,-0.554502,51.469552
Hippodamia variegata,-1.188651,52.639965
Hippodamia variegata,-1.302407,52.502693
Hippodamia variegata,-0.351872,51.238919
Hippodamia variegata,-1.185709,52.679051
Hippodamia variegata,0.089675,51.545272
Hippodamia variegata,-2.441807,52.161438
Hippodamia variegata,-1.633472,52.462377
Hippodamia variegata,-0.660422,53.788978
Hippodamia variegata,-1.486295,52.46183
Hippodamia variegata,-0.855884,53.938547
Hippodamia variegata,-0.352462,51.282542
Hippodamia variegata,-1.36101,50.932701
Hippodamia variegata,0.587301,52.304252
Hippodamia variegata,-0.348968,50.824617
Hippodamia variegata,-1.646769,53.823801
Hippodamia variegata,0.004723,52.396504
Hippodamia variegata,1.36578,51.245732
Hippodamia variegata,-0.622945,51.825553
Hippodamia variegata,-3.656783,51.462254
Hippodamia variegata,0.119652,51.414338
Hippodamia variegata,0.625647,52.456279
Hippodamia variegata,0.534858,52.413299
Hippodamia variegata,-1.788319,50.844332
Hippodamia variegata,0.725358,52.521466
Hippodamia variegata,-0.004411,51.710349
Hippodamia variegata,-0.1061333,53.2083418
Hippodamia variegata,-0.782493,51.287803
Hippodamia variegata,-1.474448,53.450605
Hippodamia variegata,0.508679,52.72858
Hippodamia variegata,-1.048902,53.255162
Hippodamia variegata,-1.316936,51.708046
Hippodamia variegata,-1.436218,52.349225
Hippodamia variegata,0.24552,51.473596
Hippodamia variegata,-1.077164,53.265272
Hippodamia variegata,-1.634216,52.372479
Hippodamia variegata,-1.026875,53.268019
Hippodamia variegata,-0.693991,54.343476
Hippodamia variegata,-1.078214,50.840885
Hippodamia variegata,-3.303336,54.163739
Hippodamia variegata,-1.486295,52.46183
Hippodamia variegata,-0.019119,52.356445
Hippodamia variegata,0.111084,51.540393
Hippodamia variegata,-1.312216,54.168832
Hippodamia variegata,-2.98016,53.447737
Hippodamia variegata,-3.656783,51.462254
Hippodamia variegata,-0.131572,53.167449
Hippodamia variegata,-2.676199,53.270069
Hippodamia variegata,-2.4246,52.777499
Hippodamia variegata,-2.676199,53.270069
Hippodamia variegata,0.917822,52.422448
Hippodamia variegata,0.753532,52.97043
Hippodamia variegata,0.750597,51.383235
Hippodamia variegata,-1.217211,51.02175
Hippodamia variegata,-0.15839,52.538522
Hippodamia variegata,-1.349195,52.276855
Hippodamia variegata,-0.388585,51.295185
Hippodamia variegata,0.552749,51.532735
Hippodamia variegata,0.114835,51.62126
Hippodamia variegata,-1.476654,53.27084
Hippodamia variegata,-0.345997,51.4623
Hippodamia variegata,1.378966,51.425255
Hippodamia variegata,-1.788319,50.844332
Hippodamia variegata,1.200955,52.167788
Hippodamia variegata,-0.19397,52.90363
Hippodamia variegata,-0.696831,54.253627
Hippodamia variegata,-1.220223,50.84192
Hippodamia variegata,0.719812,52.431668
Hippodamia variegata,0.758649,52.4528
Hippodamia variegata,-2.902068,54.023609
Hippodamia variegata,-0.58017,53.173641
Hippodamia variegata,-0.47063,53.518383
Hippodamia variegata,-1.699182,52.538977
Hippodamia variegata,-2.902068,54.023609
Hippodamia variegata,-1.07216,53.219389
Hippodamia variegata,-0.215852,53.119295
Hippodamia variegata,0.755448,52.988819
Hippodamia variegata,-0.131572,53.167449
Hippodamia variegata,0.106316,51.904676
Hippodamia variegata,0.089675,51.545272
Hippodamia variegata,0.081484,51.365561
Hippodamia variegata,0.725358,52.521466
Hippodamia variegata,-1.48529,52.965638
Hippodamia variegata,-1.220223,50.84192
Hippodamia variegata,-0.30114,51.313283
Hippodamia variegata,0.719812,52.431668
Hippodamia variegata,0.085569,51.455417
Hippodamia variegata,-1.568951,52.286851
Hippodamia variegata,-0.782307,50.995996
Hippodamia variegata,-0.768886,51.5714332
Hippodamia variegata,0.081035,51.513951
Hippodamia variegata,-1.353505,51.472182
Hippodamia variegata,1.07057,51.973394
Hippodamia variegata,-3.113946,51.338285
Hippodamia variegata,-0.15839,52.538522
Hippodamia variegata,-0.175376,52.5734
Hippodamia variegata,0.521898,51.536775
Hippodamia variegata,-0.876969,53.266701
Hippodamia variegata,1.044622,52.873398
Hippodamia variegata,-0.930036,51.109399
Hippodamia variegata,-1.035886,53.200673
Hippodamia variegata,-3.052241,53.622405
Hippodamia variegata,0.085569,51.455417
Hippodamia variegata,-1.323881,53.449848
Hippodamia variegata,-1.067422,51.380338
Hippodamia variegata,-2.902068,54.023609
Hippodamia variegata,-1.026875,53.268019
Hippodamia variegata,-0.201643,52.436239
Hippodamia variegata,0.114835,51.62126
Hippodamia variegata,-0.473248,51.315653
Hippodamia variegata,0.725358,52.521466
Hippodamia variegata,-0.270226,53.439239
Hippodamia variegata,-1.772324,52.09291
Hippodamia variegata,0.063117,50.794809
Hippodamia variegata,1.66613,52.752383
Hippodamia variegata,-2.074114,51.923497
Hippodamia variegata,0.644528,52.770587
Hippodamia variegata,0.373176,51.449947
Hippodamia variegata,-0.131572,53.167449
Hippodamia variegata,-2.414906,52.685614
Hippodamia variegata,-1.173322,53.448901
Hippodamia variegata,0.725358,52.521466
